freq,unit,bmi,geo,TIME_PERIOD,values
A,PC,BMI_GE30,HU,2017,20
A,PC,BMI_GE30,HU,2019,24.5
A,PC,BMI_GE30,HU,2022,22.2
A,PC,BMI_GE30,HU,2025,20.9
A,PC,BMI_GE30,IE,2014,18.7
A,PC,BMI_GE30,IE,2017,15.2
A,PC,BMI_GE30,IE,2019,NA
A,PC,BMI_GE30,IE,2022,19.8
A,PC,BMI_GE30,IE,2025,22.1
A,PC,BMI_GE30,IS,2014,19
A,PC,BMI_GE30,IS,2017,20.8
A,PC,BMI_GE30,IS,2019,22.3
A,PC,BMI_GE30,IS,2022,24.2
A,PC,BMI_GE30,IT,2014,10.8
A,PC,BMI_GE30,IT,2017,5.9
A,PC,BMI_GE30,IT,2019,11.7
A,PC,BMI_GE30,IT,2022,7.1
A,PC,BMI_GE30,IT,2025,7
A,PC,BMI_GE30,LT,2014,17.3
A,PC,BMI_GE30,LT,2017,17.5
A,PC,BMI_GE30,LT,2019,18.9
A,PC,BMI_GE30,LT,2022,20.6
A,PC,BMI_GE30,LT,2025,21.5
A,PC,BMI_GE30,LU,2014,15.6
A,PC,BMI_GE30,LU,2017,16
A,PC,BMI_GE30,LU,2019,16.5
A,PC,BMI_GE30,LU,2022,17
A,PC,BMI_GE30,LU,2025,16.3
A,PC,BMI_GE30,LV,2008,16.9
A,PC,BMI_GE30,LV,2014,21.3
A,PC,BMI_GE30,LV,2017,21.5
A,PC,BMI_GE30,LV,2019,23
A,PC,BMI_GE30,LV,2022,23.3
A,PC,BMI_GE30,LV,2025,24.6
A,PC,BMI_GE30,ME,2017,10.6
A,PC,BMI_GE30,ME,2022,7.8
A,PC,BMI_GE30,MK,2017,10.5
A,PC,BMI_GE30,MK,2022,15.4
A,PC,BMI_GE30,MT,2008,22.9
A,PC,BMI_GE30,MT,2014,26
A,PC,BMI_GE30,MT,2017,25.7
A,PC,BMI_GE30,MT,2019,28.7
A,PC,BMI_GE30,MT,2022,26.1
A,PC,BMI_GE30,MT,2025,26.6
A,PC,BMI_GE30,NL,2014,13.3
A,PC,BMI_GE30,NL,2017,12.7
A,PC,BMI_GE30,NL,2019,14.7
A,PC,BMI_GE30,NL,2022,13.2
A,PC,BMI_GE30,NL,2025,15
A,PC,BMI_GE30,NO,2014,13.1
A,PC,BMI_GE30,NO,2017,14.1
A,PC,BMI_GE30,NO,2019,14.1
A,PC,BMI_GE30,NO,2022,16.1
A,PC,BMI_GE30,NO,2025,17
A,PC,BMI_GE30,PL,2008,16.4
A,PC,BMI_GE30,PL,2014,17.2
A,PC,BMI_GE30,PL,2017,16.9
A,PC,BMI_GE30,PL,2019,19
A,PC,BMI_GE30,PL,2022,18.6
A,PC,BMI_GE30,PL,2025,19.4
A,PC,BMI_GE30,PT,2014,16.6
A,PC,BMI_GE30,PT,2017,15.7
A,PC,BMI_GE30,PT,2019,17.7
A,PC,BMI_GE30,PT,2022,15.8
A,PC,BMI_GE30,PT,2025,17
A,PC,BMI_GE30,RO,2008,7.9
A,PC,BMI_GE30,RO,2014,9.4
A,PC,BMI_GE30,RO,2017,10.4
A,PC,BMI_GE30,RO,2019,10.9
A,PC,BMI_GE30,RO,2022,10.3
A,PC,BMI_GE30,RO,2025,12.9
A,PC,BMI_GE30,RS,2017,13.3
A,PC,BMI_GE30,RS,2019,17.3
A,PC,BMI_GE30,RS,2022,11.6
A,PC,BMI_GE30,RS,2025,13.6
A,PC,BMI_GE30,SE,2014,14
A,PC,BMI_GE30,SE,2017,17.1
A,PC,BMI_GE30,SE,2019,15.3
A,PC,BMI_GE30,SE,2022,16.7
A,PC,BMI_GE30,SE,2025,17.5
A,PC,BMI_GE30,SI,2008,16.8
A,PC,BMI_GE30,SI,2014,19.2
A,PC,BMI_GE30,SI,2017,16.2
A,PC,BMI_GE30,SI,2019,19.9
A,PC,BMI_GE30,SI,2022,17.3
A,PC,BMI_GE30,SI,2025,18.6
A,PC,BMI_GE30,SK,2008,15.1
A,PC,BMI_GE30,SK,2014,16.3
A,PC,BMI_GE30,SK,2017,14.4
A,PC,BMI_GE30,SK,2019,19.7
A,PC,BMI_GE30,SK,2022,17.1
A,PC,BMI_GE30,SK,2025,17.7
A,PC,BMI_GE30,TR,2008,16.2
A,PC,BMI_GE30,TR,2014,21.2
A,PC,BMI_GE30,TR,2019,22.3
A,PC,BMI_GE30,TR,2022,20.1
A,PC,BMI_GE30,TR,2025,21.4
A,PC,BMI_GE30,UK,2014,20.1
A,PC,BMI_GE30,UK,2017,21
